X,Y,Code,Suburb,AreaKm2,Population
151.0262029,-33.85469966,10106,Auburn (NSW),8.5637,37370
151.0390994,-29.8308944,10107,Auburn Vale,63.6472,124
150.9291209,-34.30166675,10108,Austinmer,3.3382,2560
150.8081274,-33.92350796,10109,Austral,17.6607,3022
152.9196264,-31.02558355,10110,Austral Eden,13.6185,146
151.3270111,-33.62945365,10111,Avalon Beach,5.1313,9908
149.4787843,-32.74711109,10112,Avisford,18.3025,27
150.4721327,-34.59119347,10113,Avoca (NSW),24.6252,202
151.4276206,-33.47025171,10114,Avoca Beach,4.4418,4585
150.6686764,-34.42550153,10115,Avon (NSW),265.8204,0
150.7453599,-34.52392396,10116,Avondale (NSW),18.3129,1654
148.7204535,-36.39806752,10117,Avonside,57.3648,122
151.5424827,-33.02244101,10118,Awaba,23.1193,400
150.4964649,-34.42248907,10119,Aylmerton,2.7956,187
149.9290623,-30.57236372,10120,Baan Baa,254.9381,163
146.5085396,-31.92565713,10121,Babinda (NSW),476.2417,3
152.792922,-28.72234981,10122,Babyl Creek,25.8859,6
147.4605367,-33.86455643,10123,Back Creek (Bland - NSW),449.795,51
150.275576,-30.11227116,10124,Back Creek (Gwydir - NSW),119.9514,12
152.0531502,-31.96168656,10125,Back Creek (Mid-Coast - NSW),31.5289,17
149.9435423,-35.34330722,10126,Back Creek (Queanbeyan-Palerang Regional - NSW),39.2653,12
151.7288938,-28.96166696,10127,Back Creek (Tenterfield - NSW),200.741,12
153.1701666,-28.40916585,10128,Back Creek (Tweed - NSW),7.4364,14
150.6811436,-34.84051847,10129,Back Forest,5.979,83
153.0257623,-28.75692168,10130,Backmede,29.4886,153
151.9173783,-30.04710137,10131,Backwater,126.3462,13
150.745209,-33.88201419,10132,Badgerys Creek,26.981,229
149.5171025,-36.05910664,10133,Badja,130.2836,9
150.460363,-32.40162185,10134,Baerami,151.2264,69
150.4933451,-32.57417613,10135,Baerami Creek,367.2391,53
152.5344272,-31.47106401,10136,Bagnoo,37.7957,40
152.6671467,-31.51174763,10137,Bago,63.0427,41
153.4130404,-28.97612625,10138,Bagotville,9.9221,47
152.1011952,-31.97289358,10139,Bakers Creek (Mid-Coast - NSW),40.4685,35
152.7145385,-30.82637866,10140,Bakers Creek (Nambucca - NSW),57.2165,14
150.9955738,-30.32482138,10141,Bakers Creek (Uralla - NSW),161.5919,13
148.9332811,-32.77152964,10142,Bakers Swamp,136.4942,50
150.4832482,-34.44021474,10143,Balaclava (NSW),2.376,497
151.2991142,-30.62033226,10144,Balala,357.1643,139
151.5519747,-33.09571506,10145,Balcolyn,0.7391,961
151.8171936,-30.18021225,10146,Bald Blair,101.2316,48
149.84279,-36.91173385,10147,Bald Hills (NSW),10.7141,263
151.9881152,-29.67875795,10148,Bald Nob,77.4933,12
149.4340734,-33.93298246,10149,Bald Ridge,135.8045,7
