,X,Y,Code,Suburb,AreaKm2,Population,Density,Density_Norm,Income,Income_Norm,Earthquake,Earthquake_Norm,Hospital,Hospital_Norm,Water,Water_Norm
2126,151.1570867,-33.76801703,12129,Killara (NSW),4.6318,10576,2283.345568,0.109854536,5940,0.698659139,0,0,6,0.082191781,16,0.026446281
2127,151.2217994,-33.77326946,12130,Killarney Heights,4.244,4465,1052.073516,0.050616538,3473,0.40849212,0,0,4,0.054794521,22,0.036363636
2128,151.4608952,-33.36781127,12131,Killarney Vale,3.018,7216,2390.987409,0.115033316,5900,0.693954364,0,0,0,0,8,0.01322314
2130,151.3638726,-33.52097001,12133,Killcare,1.6566,478,288.5427985,0.013882145,3071,0.361209127,0,0,4,0.054794521,17,0.028099174
2131,151.3749415,-33.52251065,12134,Killcare Heights,2.1459,744,346.7076751,0.016680528,3071,0.361209127,0,0,5,0.068493151,17,0.028099174
2138,151.4016369,-33.47304478,12141,Kincumber,9.9139,7093,715.4601116,0.034421657,2003,0.235591625,0,0,3,0.04109589,13,0.021487603
2139,151.3818059,-33.4842301,12142,Kincumber South,1.2726,688,540.6254911,0.026010151,3071,0.361209127,0,0,4,0.054794521,14,0.023140496
2146,150.9353862,-33.75003946,12149,Kings Langley,3.6669,9353,2550.655867,0.12271516,6719,0.790284639,0,0,3,0.04109589,6,0.009917355
2147,150.9077781,-33.74352527,12150,Kings Park (NSW),2.6051,3453,1325.476949,0.06377031,4505,0.529875323,0,0,0,0,6,0.009917355
2153,151.2290716,-33.92524777,12156,Kingsford (NSW),1.9873,15484,7791.475872,0.374857391,3140,0.369324865,0,0,1,0.01369863,25,0.041322314
2155,151.0993409,-33.93935097,12158,Kingsgrove,4.491,12450,2772.211089,0.133374451,6435,0.756880734,0,0,2,0.02739726,16,0.026446281
2160,150.7238162,-33.76375926,12163,Kingswood (Penrith - NSW),4.7821,9301,1944.961419,0.093574462,4978,0.585509292,0,0,0,0,3,0.004958678
2168,150.7111814,-34.03702117,12171,Kirkham,4.22,695,164.6919431,0.00792353,5750,0.676311456,0,0,0,0,10,0.016528926
2169,151.0734119,-34.03296123,12172,Kirrawee,3.5527,9282,2612.660793,0.125698292,5625,0.661609033,0,0,4,0.054794521,16,0.026446281
2170,151.2158852,-33.8476721,12173,Kirribilli,0.4376,3818,8724.862888,0.419763777,4416,0.519407198,0,0,2,0.02739726,21,0.034710744
2178,151.1365087,-33.96738033,12181,Kogarah,2.608,15120,5797.546012,0.278926998,2975,0.349917666,0,0,0,0,20,0.033057851
2179,151.1238934,-33.98265114,12182,Kogarah Bay,0.6648,2021,3040.012034,0.146258681,4381,0.51529052,0,0,0,0,21,0.034710744
2182,151.3165308,-33.46870799,12185,Koolewong,1.3223,867,655.6757166,0.031545357,1733,0.203834392,0,0,0,0,11,0.018181818
2202,151.2338545,-33.63825926,12205,Ku-Ring-Gai Chase,93.9011,3,0.031948508,1.54E-06,2912,0.342507645,0,0,7,0.095890411,26,0.042975207
2203,151.170951,-33.2002577,12206,Kulnura,189.3341,607,3.205972934,0.000154243,1200,0.14114326,0,0,5,0.068493151,10,0.016528926
2212,150.7011601,-33.55038645,12215,Kurmond,8.3269,851,102.1988975,0.004916913,5990,0.704540108,0,0,12,0.164383562,18,0.029752066
2213,151.1955153,-34.02307591,12216,Kurnell,19.1994,2269,118.1807765,0.005685821,6233,0.733121618,0,0,6,0.082191781,27,0.044628099
2214,151.2231256,-33.84197425,12217,Kurraba Point,0.2349,1525,6492.124308,0.312344006,4416,0.519407198,0,0,2,0.02739726,22,0.036363636
2215,150.702923,-33.50351982,12218,Kurrajong,47.1743,3059,64.84462939,0.003119754,5990,0.704540108,0,0,16,0.219178082,17,0.028099174
2216,150.617121,-33.51734766,12219,Kurrajong Heights,20.7966,1340,64.43360934,0.003099979,5990,0.704540108,0,0,15,0.205479452,26,0.042975207
2217,150.6554847,-33.52261974,12220,Kurrajong Hills,17.4767,667,38.16509982,0.001836169,5990,0.704540108,0,0,14,0.191780822,22,0.036363636
2223,151.1605184,-33.94900724,12226,Kyeemagh,0.5966,916,1535.36708,0.07386838,3673,0.432015996,0,0,2,0.02739726,21,0.034710744
2224,151.100027,-33.98934544,12227,Kyle Bay,0.369,1036,2807.588076,0.135076481,6357,0.747706422,0,0,2,0.02739726,19,0.031404959
2227,151.2409582,-33.99213643,12230,La Perouse,1.7547,404,230.2387873,0.011077068,5781,0.679957657,0,0,7,0.095890411,30,0.049586777
2253,151.0764008,-33.91898705,12257,Lakemba,2.1866,17019,7783.316565,0.374464837,3904,0.459186074,0,0,2,0.02739726,13,0.021487603
2254,150.4956971,-34.18491416,12258,Lakesland,73.3447,434,5.917264642,0.000284687,4544,0.534462479,0,0,6,0.082191781,5,0.008264463
2257,150.9311364,-33.76111097,12261,Lalor Park,2.7014,7667,2838.157992,0.136547237,6719,0.790284639,0,0,2,0.02739726,6,0.009917355
2262,151.1669682,-33.81752412,12266,Lane Cove,2.5799,10815,4192.022947,0.201683328,7130,0.838626206,0,0,2,0.02739726,16,0.026446281
2263,151.1613959,-33.8058391,12267,Lane Cove North,2.3629,11442,4842.354734,0.232971582,5625,0.661609033,0,0,3,0.04109589,16,0.026446281
2264,151.1500243,-33.81151059,12268,Lane Cove West,1.6869,2630,1559.072856,0.075008893,7130,0.838626206,0,0,3,0.04109589,14,0.023140496
2268,150.9754072,-33.89616392,12272,Lansdowne (Canterbury-Bankstown - NSW),1.4103,16,11.34510388,0.000545827,5415,0.636908963,0,0,2,0.02739726,3,0.004958678
2271,150.9636928,-33.90144596,12275,Lansvale,2.8932,2575,890.0179732,0.042819848,5156,0.606445542,0,0,1,0.01369863,3,0.004958678
2272,150.6356745,-33.77418211,12276,Lapstone,1.3991,957,684.01115,0.032908609,5375,0.632204187,0,0,2,0.02739726,12,0.019834711
2277,151.0293706,-33.4377824,12281,Laughtondale,27.059,82,3.030415019,0.000145797,1417,0.166666667,0,0,12,0.164383562,14,0.023140496
2281,151.2074281,-33.84373201,12285,Lavender Bay,0.1642,943,5742.996346,0.276302547,2768,0.325570454,0,0,1,0.01369863,20,0.033057851
2285,150.4340558,-33.71979376,12289,Lawson (NSW),7.2887,2612,358.3629454,0.017241278,3057,0.359562456,0,0,10,0.136986301,13,0.021487603
2290,150.948803,-33.42582552,12294,Leets Vale,9.2707,57,6.148403033,0.000295807,660,0.077628793,0,0,17,0.232876712,6,0.009917355
2293,151.1546915,-33.88236208,12297,Leichhardt (NSW),2.5952,14622,5634.247842,0.271070524,6499,0.764408375,0,0,2,0.02739726,16,0.026446281
2297,150.8530334,-33.9134677,12301,Len Waters Estate,1.0897,0,0,0,3252,0.382498236,0,0,3,0.04109589,6,0.009917355
2300,150.6483844,-33.76637254,12304,Leonay,2.47,2517,1019.02834,0.049026694,3909,0.459774171,0,0,0,0,11,0.018181818
2301,150.7950891,-33.97043208,12305,Leppington,20.3254,3499,172.1491336,0.008282304,4824,0.567395907,0,0,7,0.095890411,7,0.011570248
2303,150.8004196,-33.73716283,12307,Lethbridge Park,1.6238,4750,2925.237098,0.140736719,5173,0.608445072,0,0,0,0,1,0.001652893
2304,150.8379706,-34.05326355,12308,Leumeah,4.0547,9836,2425.826818,0.116709482,4536,0.533521524,0,0,0,0,2,0.003305785
2309,151.1467036,-33.89516146,12313,Lewisham (NSW),0.6418,3165,4931.442817,0.237257719,4166,0.490002352,0,0,3,0.04109589,16,0.026446281
2311,151.0838768,-33.84108943,12315,Liberty Grove,0.2327,2253,9681.993984,0.46581252,6492,0.763585039,0,0,1,0.01369863,8,0.01322314
2312,151.0480392,-33.86187831,12316,Lidcombe,6.8049,19626,2884.098223,0.138757477,4967,0.584215479,0,0,1,0.01369863,6,0.009917355
2318,151.1157586,-34.06756328,12322,Lilli Pilli (Sutherland Shire - NSW),0.607,1391,2291.598023,0.110251571,887,0.104328393,0,0,0,0,18,0.029752066
2321,151.1610692,-33.87107899,12325,Lilyfield,2.1588,7617,3528.349083,0.169753171,3622,0.426017408,0,0,2,0.02739726,17,0.028099174
2322,151.0231399,-34.17824673,12326,Lilyvale (NSW),18.1764,0,0,0,2389,0.280992708,0,0,5,0.068493151,8,0.01322314
2331,150.494769,-33.71288305,12335,Linden (NSW),13.7332,496,36.1168555,0.001737626,3057,0.359562456,0,0,6,0.082191781,19,0.031404959
2335,151.1617459,-33.78016389,12339,Lindfield,5.1312,9794,1908.71531,0.091830618,6312,0.74241355,0,0,5,0.068493151,16,0.026446281
2337,151.1494106,-33.82729158,12341,Linley Point,0.2021,348,1721.919842,0.08284366,7130,0.838626206,0,0,3,0.04109589,14,0.023140496
2339,151.3831592,-33.38556659,12343,Lisarow,10.8599,5136,472.9325316,0.02275336,2183,0.256763115,0,0,1,0.01369863,5,0.008264463
2345,151.2455389,-33.9827116,12349,Little Bay,2.4571,4477,1822.066664,0.087661846,5781,0.679957657,0,0,6,0.082191781,29,0.047933884
2350,151.3602615,-33.23570894,12354,Little Jilliby,3.6766,115,31.27889898,0.001504866,867,0.101976006,0,0,1,0.01369863,3,0.004958678
2355,151.2539047,-33.54266134,12359,Little Wobby,1.4889,60,40.29820673,0.001938796,1200,0.14114326,0,0,0,0,16,0.026446281
2357,150.915914,-33.92345366,12361,Liverpool,6.356,27087,4261.642542,0.205032812,6492,0.763585039,0,0,0,0,1,0.001652893
2359,150.7492322,-33.71073806,12363,Llandilo,18.6349,1633,87.6312725,0.004216047,6477,0.761820748,0,0,0,0,5,0.008264463
2367,151.0452439,-34.04485594,12371,Loftus,2.5312,4128,1630.847029,0.078462036,2094,0.246294989,0,0,1,0.01369863,13,0.021487603
2371,150.7360227,-33.65325253,12375,Londonderry (NSW),36.2493,3904,107.6986314,0.005181512,1618,0.190308163,0,0,5,0.068493151,11,0.018181818
2374,151.4865403,-33.35979702,12378,Long Jetty,2.539,6391,2517.132729,0.121102321,3842,0.451893672,0,0,0,0,10,0.016528926
2377,150.8974821,-34.01133169,12381,Long Point (Campbelltown - NSW),2.0111,211,104.9177067,0.005047719,6088,0.716066808,0,0,6,0.082191781,1,0.001652893
2381,151.1688823,-33.82938759,12385,Longueville,0.9933,2062,2075.908588,0.09987449,7130,0.838626206,0,0,1,0.01369863,16,0.026446281
2393,151.2799555,-33.63210688,12397,Lovett Bay,0.4537,147,324.0026449,0.015588162,2912,0.342507645,0,0,4,0.054794521,25,0.041322314
2404,150.9675936,-33.35897887,12408,Lower Macdonald,10.2065,262,25.66991623,0.001235011,660,0.077628793,0,0,12,0.164383562,11,0.018181818
2405,151.1360577,-33.39941344,12409,Lower Mangrove,16.5425,66,3.98972344,0.00019195,1200,0.14114326,0,0,1,0.01369863,11,0.018181818
2408,150.8851339,-33.439277,12412,Lower Portland,60.0586,591,9.84038922,0.000473433,660,0.077628793,0,0,23,0.315068493,0,0
2413,150.9784367,-34.03970556,12417,Lucas Heights,9.9327,0,0,0,5941,0.698776758,0,0,4,0.054794521,9,0.014876033
2415,150.7099199,-33.86454849,12419,Luddenham,44.1008,1827,41.4278199,0.001993143,2531,0.29769466,0,0,9,0.123287671,5,0.008264463
2417,151.0449973,-33.98262355,12421,Lugarno,2.6791,5604,2091.747229,0.100636506,4928,0.579628323,0,0,5,0.068493151,14,0.023140496
2418,150.8970562,-33.93581215,12422,Lurnea,2.5038,9315,3720.345075,0.178990332,2801,0.329451894,0,0,0,0,3,0.004958678
2428,151.4095637,-33.49479489,12432,Macmasters Beach,5.8789,1292,219.7690044,0.010573354,3071,0.361209127,0,0,5,0.068493151,16,0.026446281
2429,150.8930733,-33.99205548,12433,Macquarie Fields,7.0125,13712,1955.365419,0.094075011,6088,0.716066808,0,0,4,0.054794521,1,0.001652893
2431,150.8726311,-33.98175042,12435,Macquarie Links,1.7723,1357,765.671726,0.036837399,5333,0.627264173,0,0,3,0.04109589,1,0.001652893
2433,151.1270123,-33.78021235,12437,Macquarie Park,6.7633,8142,1203.850191,0.057918699,5046,0.59350741,0,0,3,0.04109589,12,0.019834711
2435,150.945484,-34.25787314,12439,Maddens Plains,15.6331,4,0.255867358,1.23E-05,2389,0.280992708,0,0,1,0.01369863,11,0.018181818
2437,151.53408,-33.30053609,12441,Magenta (NSW),6.4599,208,32.19864085,0.001549116,3842,0.451893672,0,0,1,0.01369863,12,0.019834711
2439,151.1285725,-34.080213,12443,Maianbar,0.2931,507,1729.785056,0.083222065,4,0.000470478,0,0,1,0.01369863,19,0.031404959
2449,150.6372027,-34.19855386,12454,Maldon (NSW),2.0827,19,9.122773323,0.000438908,2648,0.311456128,0,0,0,0,3,0.004958678
2466,151.1257182,-33.35075532,12471,Mangrove Creek,19.1924,36,1.875742481,9.02E-05,1200,0.14114326,0,0,2,0.02739726,12,0.019834711
2467,151.1837294,-33.32151443,12472,Mangrove Mountain,76.8008,714,9.296778159,0.000447279,1200,0.14114326,0,0,2,0.02739726,8,0.01322314
2470,151.2912563,-33.80493032,12475,Manly (NSW),5.5668,15863,2849.572465,0.137096401,5592,0.657727594,0,0,0,0,29,0.047933884
2471,151.2664085,-33.78226679,12476,Manly Vale,1.9047,6167,3237.780228,0.155773549,4427,0.520701012,0,0,1,0.01369863,26,0.042975207
2479,150.9198585,-33.59226976,12484,Maraylya,20.4662,1242,60.68542279,0.00291965,2839,0.33392143,0,0,15,0.205479452,6,0.009917355
2480,150.892773,-33.74827646,12485,Marayong,2.7197,7706,2833.400743,0.13631836,4806,0.565278758,0,0,0,0,5,0.008264463
2483,151.4013701,-33.29374607,12488,Mardi,9.4956,3681,387.6532289,0.018650469,1422,0.167254764,0,0,1,0.01369863,0,0
2493,150.9824197,-33.46179061,12500,Maroota,57.1141,619,10.8379542,0.000521427,5659,0.665608092,0,0,17,0.232876712,10,0.016528926
2494,151.2443303,-33.94402347,12501,Maroubra,5.9226,30686,5181.170432,0.249272418,2707,0.318395672,0,0,2,0.02739726,27,0.044628099
2497,151.1556456,-33.91125441,12504,Marrickville,5.7713,26590,4607.280855,0.221661892,6366,0.748764996,0,0,3,0.04109589,18,0.029752066
2498,150.8217351,-33.69834607,12505,Marsden Park,23.3542,1003,42.94730712,0.002066247,4646,0.546459657,0,0,3,0.04109589,6,0.009917355
2499,151.1048449,-33.77577804,12506,Marsfield,3.8634,13295,3441.269348,0.165563659,5046,0.59350741,0,0,1,0.01369863,10,0.016528926
2512,151.1819799,-33.94015887,12519,Mascot,11.9607,14771,1234.961164,0.059415485,0,0,0,0,4,0.054794521,22,0.036363636
2513,151.4271335,-33.40661638,12520,Matcham,8.8479,987,111.5518937,0.005366897,3681,0.432956951,0,0,1,0.01369863,8,0.01322314
2517,151.2319415,-33.9634355,12524,Matraville,3.933,9804,2492.753623,0.119929412,5781,0.679957657,0,0,4,0.054794521,27,0.044628099
2531,150.989244,-33.82059493,12538,Mays Hill,0.2992,767,2563.502674,0.123333235,4040,0.47518231,0,0,0,0,1,0.001652893
2535,150.8416723,-33.61278693,12542,McGraths Hill,3.0932,2555,826.0054313,0.039740127,2839,0.33392143,0,0,11,0.150684932,10,0.016528926
2540,151.2030314,-33.84493015,12547,McMahons Point,0.3492,2280,6529.209622,0.314128225,2768,0.325570454,0,0,1,0.01369863,20,0.033057851
2543,151.088607,-33.81667976,12550,Meadowbank (NSW),0.6915,4408,6374.548084,0.30668727,5346,0.628793225,0,0,1,0.01369863,8,0.01322314
2556,151.0729436,-33.81393479,12563,Melrose Park (NSW),1.0774,1572,1459.068127,0.070197544,5346,0.628793225,0,0,2,0.02739726,7,0.011570248
2560,151.0047877,-34.00563754,12567,Menai,12.9444,10306,796.1744075,0.03830492,5941,0.698776758,0,0,3,0.04109589,12,0.019834711
2561,150.7210938,-34.13760139,12568,Menangle,34.0936,1146,33.61334679,0.001617179,2648,0.311456128,0,0,4,0.054794521,10,0.016528926
2562,150.7518594,-34.1009457,12569,Menangle Park,8.7197,254,29.12944253,0.001401453,5657,0.665372853,0,0,1,0.01369863,6,0.009917355
2581,150.9867515,-33.83611486,12588,Merrylands,6.748,29650,4393.894487,0.211395614,7144,0.840272877,0,0,1,0.01369863,2,0.003305785
2582,150.9680731,-33.83709501,12589,Merrylands West,1.7354,6588,3796.242941,0.18264187,5098,0.599623618,0,0,1,0.01369863,2,0.003305785
2595,151.2124701,-33.79287197,12602,Middle Cove,1.0362,1339,1292.221579,0.062170354,6920,0.813926135,0,0,2,0.02739726,21,0.034710744
2596,151.0139065,-33.63750592,12603,Middle Dural,7.6599,1014,132.3777073,0.006368853,5659,0.665608092,0,0,8,0.109589041,8,0.01322314
2600,150.8427435,-33.91442764,12607,Middleton Grange,2.5545,5177,2026.619691,0.097503141,3903,0.459068454,0,0,3,0.04109589,7,0.011570248
2610,150.8785055,-33.92119066,12617,Miller,1.2705,3240,2550.177096,0.122692125,4003,0.470830393,0,0,2,0.02739726,4,0.00661157
2612,151.2041418,-33.85954899,12619,Millers Point,0.2512,1485,5911.624204,0.284415439,4737,0.55716302,0,0,1,0.01369863,20,0.033057851
2618,150.9814824,-33.93884955,12625,Milperra,5.3711,3952,735.7896893,0.035399738,7027,0.826511409,0,0,2,0.02739726,7,0.011570248
2621,151.2113685,-33.84713911,12629,Milsons Point,0.1982,2161,10903.12815,0.524562772,2768,0.325570454,0,0,2,0.02739726,21,0.034710744
2625,150.82956,-33.78723693,12633,Minchinbury,4.1856,5623,1343.41552,0.064633356,5461,0.642319454,0,0,1,0.01369863,3,0.004958678
2634,150.8481554,-34.0302146,12642,Minto,9.5678,12547,1311.377746,0.06309198,5315,0.625147024,0,0,2,0.02739726,1,0.001652893
2635,150.8744068,-34.03454332,12643,Minto Heights,5.9613,380,63.74448526,0.003066825,4536,0.533521524,0,0,4,0.054794521,1,0.001652893
2637,151.1033152,-34.03266981,12645,Miranda (NSW),4.6756,15284,3268.885277,0.157270051,4863,0.571983063,0,0,2,0.02739726,18,0.029752066
2664,151.3041243,-33.67604574,12672,Mona Vale,4.5559,10674,2342.896025,0.112719581,6516,0.766407904,0,0,0,0,30,0.049586777
2678,151.1477226,-33.97231777,12686,Monterey,1.1522,4526,3928.137476,0.188987477,3673,0.432015996,0,0,0,0,21,0.034710744
2696,151.2041119,-33.52430083,12704,Mooney Mooney,1.9001,308,162.0967318,0.007798671,1200,0.14114326,0,0,5,0.068493151,15,0.024793388
2697,151.2220478,-33.4640368,12705,Mooney Mooney Creek,18.9679,28,1.476178175,7.10E-05,1200,0.14114326,0,0,2,0.02739726,9,0.014876033
2703,151.2215001,-33.895253,12711,Moore Park,1.8625,28,15.03355705,0.000723283,3445,0.405198777,0,0,1,0.01369863,23,0.038016529
2704,150.9377225,-33.94315203,12712,Moorebank,12.5155,9750,779.0339978,0.037480274,5478,0.644318984,0,0,1,0.01369863,4,0.00661157
2717,151.2857314,-33.62745571,12725,Morning Bay,0.2156,34,157.6994434,0.007587112,2912,0.342507645,0,0,5,0.068493151,25,0.041322314
2720,151.0721668,-33.96951303,12728,Mortdale,2.8792,10422,3619.755488,0.174150844,6483,0.762526464,0,0,5,0.068493151,15,0.024793388
2721,151.1060628,-33.84085767,12729,Mortlake (NSW),0.2384,1062,4454.697987,0.214320944,6207,0.730063514,0,0,1,0.01369863,10,0.016528926
2730,151.2446351,-33.8290817,12738,Mosman,8.6503,28476,3291.908951,0.158377748,7525,0.885085862,0,0,4,0.054794521,24,0.039669421
2737,150.7623116,-34.06602353,12745,Mount Annan,10.2263,11704,1144.499966,0.055063287,7911,0.930486944,0,0,2,0.02739726,4,0.00661157
2742,151.1272268,-33.66711272,12750,Mount Colah,11.0622,7096,641.4637233,0.030861601,5138,0.604328393,0,0,2,0.02739726,19,0.031404959
2748,150.8159252,-33.76846227,12756,Mount Druitt,6.2561,16731,2674.349835,0.128666227,5619,0.660903317,0,0,0,0,2,0.003305785
2749,151.3857571,-33.40505908,12757,Mount Elliot (NSW),2.424,167,68.89438944,0.003314593,2183,0.256763115,0,0,0,0,7,0.011570248
2757,150.612038,-34.09922708,12765,Mount Hunter,32.7491,733,22.38229448,0.001076839,2406,0.282992237,0,0,3,0.04109589,7,0.011570248
2764,151.1354122,-33.64633537,12772,Mount Kuring-Gai,10.5767,1704,161.1088525,0.007751143,5138,0.604328393,0,0,4,0.054794521,20,0.033057851
2766,151.049555,-33.9156527,12774,Mount Lewis,0.3328,1193,3584.735577,0.172465994,6154,0.723829687,0,0,0,0,11,0.018181818
2777,150.9032156,-33.90296768,12785,Mount Pritchard,3.0939,9951,3216.328905,0.1547415,4380,0.5151729,0,0,0,0,1,0.001652893
2780,150.6371525,-33.72827035,12788,Mount Riverview,3.0094,3031,1007.17751,0.048456536,5375,0.632204187,0,0,1,0.01369863,13,0.021487603
2788,150.8100734,-33.86035485,12796,Mount Vernon,6.5433,1185,181.1012792,0.008713003,1109,0.130439896,0,0,6,0.082191781,4,0.00661157
2795,151.1894594,-33.44976362,12803,Mount White,16.6796,180,10.7916257,0.000519198,1200,0.14114326,0,0,1,0.01369863,9,0.014876033
2798,150.6262802,-33.43759317,12806,Mountain Lagoon,54.6618,85,1.555016483,7.48E-05,660,0.077628793,0,0,21,0.287671233,25,0.041322314
2802,150.550171,-34.1553086,12810,Mowbray Park,8.8517,93,10.50645639,0.000505478,4544,0.534462479,0,0,0,0,6,0.009917355
2806,150.6426241,-33.82687853,12814,Mulgoa,54.2598,1898,34.97985617,0.001682923,2531,0.29769466,0,0,6,0.082191781,13,0.021487603
2807,150.8297879,-33.62707481,12815,Mulgrave (NSW),4.0198,90,22.38917359,0.00107717,2839,0.33392143,0,0,9,0.123287671,10,0.016528926
2887,151.3352638,-33.39593268,12895,Narara,8.242,7933,962.5090997,0.046307485,1866,0.21947777,0,0,1,0.01369863,4,0.00661157
2888,150.732365,-34.04338482,12896,Narellan,4.2758,3614,845.2219468,0.040664657,5750,0.676311456,0,0,1,0.01369863,8,0.01322314
2889,150.7448376,-34.05302185,12897,Narellan Vale,2.4805,7196,2901.028019,0.13957199,7911,0.930486944,0,0,2,0.02739726,6,0.009917355
2890,151.200732,-33.81695831,12898,Naremburn,1.2495,5887,4711.484594,0.226675261,2815,0.331098565,0,0,0,0,19,0.031404959
2901,151.2731564,-33.74935439,12910,Narraweena,1.7759,6608,3720.930233,0.179018484,3673,0.432015996,0,0,4,0.054794521,27,0.044628099
2903,151.0691721,-33.94665278,12912,Narwee,1.2674,5617,4431.907843,0.213224483,3683,0.43319219,0,0,3,0.04109589,14,0.023140496
2906,150.4458601,-34.05922948,12915,Nattai,51.6348,64,1.239474153,5.96E-05,2406,0.282992237,0,0,0,0,7,0.011570248
2913,150.9213671,-33.6462341,12922,Nelson (The Hills Shire - NSW),4.9183,448,91.0883842,0.004382373,6064,0.713243943,0,0,10,0.136986301,1,0.001652893
2925,151.2179525,-33.83475728,12934,Neutral Bay,1.2796,10483,8192.403876,0.394146526,4416,0.519407198,0,0,2,0.02739726,21,0.034710744
2944,151.0549932,-33.8385566,12953,Newington (NSW),0.9267,5800,6258.76767,0.301116934,4589,0.539755352,0,0,2,0.02739726,6,0.009917355
2947,151.3153255,-33.65655919,12956,Newport (NSW),3.8119,9303,2440.515229,0.117416159,3729,0.438602682,0,0,2,0.02739726,28,0.046280992
2951,151.1794922,-33.8987,12960,Newtown (NSW),1.5783,15025,9519.736425,0.458006111,4550,0.535168196,0,0,1,0.01369863,19,0.031404959
2952,151.3485904,-33.37635405,12961,Niagara Park,4.7795,2744,574.1186317,0.027621546,2183,0.256763115,0,0,0,0,2,0.003305785
2964,151.5613292,-33.2853505,12973,Norah Head,4.2499,1131,266.1239088,0.012803545,2512,0.295459892,0,0,5,0.068493151,15,0.024793388
2965,151.5552314,-33.27091492,12974,Noraville,1.7573,2919,1661.070961,0.079916147,2512,0.295459892,0,0,5,0.068493151,14,0.023140496
2967,151.0957672,-33.72369957,12976,Normanhurst,2.1911,5290,2414.312446,0.116155512,5037,0.592448836,0,0,0,0,12,0.019834711
2971,151.4351129,-33.45608277,12980,North Avoca,1.497,2195,1466.265865,0.070543836,3704,0.435662197,0,0,4,0.054794521,13,0.021487603
2972,151.2512872,-33.78688892,12981,North Balgowlah,1.1218,3664,3266.179355,0.157139866,4427,0.520701012,0,0,1,0.01369863,25,0.041322314
2975,151.2784088,-33.88454793,12984,North Bondi,1.2637,9167,7254.095118,0.349003349,4618,0.543166314,0,0,2,0.02739726,28,0.046280992
2979,151.290978,-33.76265814,12988,North Curl Curl,1.2153,4113,3384.349543,0.162825177,6632,0.780051753,0,0,3,0.04109589,29,0.047933884
2981,151.0939638,-33.75877063,12990,North Epping,2.3331,4526,1939.908277,0.093331349,7373,0.867207716,0,0,2,0.02739726,10,0.016528926
2982,151.354607,-33.41805515,12991,North Gosford,1.9163,3698,1929.760476,0.092843126,4792,0.563632087,0,0,0,0,7,0.011570248
2988,151.273008,-33.77384538,12997,North Manly,1.069,3089,2889.616464,0.139022967,5554,0.653258057,0,0,2,0.02739726,27,0.044628099
2990,151.293587,-33.70277447,12999,North Narrabeen,2.5357,5854,2308.632725,0.111071131,6516,0.766407904,0,0,2,0.02739726,31,0.051239669
2992,151.0122374,-33.79528729,13001,North Parramatta,5.2425,13246,2526.657129,0.121560551,5384,0.633262762,0,0,1,0.01369863,1,0.001652893
2993,150.7204795,-33.56806563,13002,North Richmond,22.1181,4979,225.1097517,0.010830304,3459,0.406845448,0,0,11,0.150684932,17,0.028099174
2994,151.0169255,-33.77254962,13003,North Rocks,5.4615,7964,1458.207452,0.070156136,2258,0.265584568,0,0,2,0.02739726,4,0.00661157
2996,151.1297275,-33.79669209,13005,North Ryde,5.3599,10857,2025.597492,0.097453962,3304,0.388614444,0,0,2,0.02739726,12,0.019834711
2998,150.7843509,-33.75490696,13007,North St Marys,3.186,3922,1231.010672,0.059225422,3954,0.465067043,0,0,1,0.01369863,0,0
3000,151.0883799,-33.85862851,13009,North Strathfield,1.0358,4767,4602.239815,0.221419361,6492,0.763585039,0,0,2,0.02739726,9,0.014876033
3001,151.2087071,-33.83660036,13010,North Sydney,1.4713,7705,5236.865357,0.251951969,2768,0.325570454,0,0,1,0.01369863,20,0.033057851
3004,151.1532286,-33.68829654,13013,North Turramurra,11.6142,4257,366.5340704,0.0176344,5248,0.617266526,0,0,3,0.04109589,19,0.031404959
3006,151.131083,-33.69775466,13015,North Wahroonga,3.8916,1996,512.8995786,0.024676223,4818,0.566690191,0,0,0,0,17,0.028099174
3007,151.2004831,-33.79524821,13016,North Willoughby,0.9346,4172,4463.941793,0.214765675,6920,0.813926135,0,0,2,0.02739726,19,0.031404959
3013,151.2180289,-33.81083828,13022,Northbridge (NSW),2.7281,6348,2326.894175,0.111949712,6920,0.813926135,0,0,1,0.01369863,21,0.034710744
3014,150.9941433,-33.78731373,13023,Northmead,4.2858,11218,2617.480984,0.125930197,5422,0.637732298,0,0,1,0.01369863,1,0.001652893
3015,151.178478,-33.82834491,13024,Northwood (NSW),0.382,981,2568.062827,0.12355263,7130,0.838626206,0,0,0,0,17,0.028099174
3045,150.5065815,-34.07816707,13054,Oakdale (NSW),94.0105,1842,19.59355604,0.00094267,2406,0.282992237,0,0,0,0,12,0.019834711
3049,150.8383694,-33.73882584,13058,Oakhurst (NSW),2.0268,6958,3432.997829,0.165165706,5303,0.623735592,0,0,1,0.01369863,4,0.00661157
3051,150.8732565,-33.62206097,13060,Oakville,15.1475,1966,129.7903945,0.006244374,2839,0.33392143,0,0,11,0.150684932,6,0.009917355
3054,151.027036,-33.79573323,13063,Oatlands (NSW),2.4621,5659,2298.444417,0.11058096,4667,0.548929664,0,0,0,0,2,0.003305785
3055,151.0745109,-33.98250041,13064,Oatley,4.3738,10486,2397.457588,0.115344604,6483,0.762526464,0,0,4,0.054794521,16,0.026446281
3068,150.9839471,-33.86428603,13077,Old Guildford,0.961,2663,2771.0718,0.133319638,3556,0.418254528,0,0,0,0,4,0.00661157
