,X,Y,Code,Suburb,AreaKm2,Population,Density,Density_Norm,Income,Income_Norm,Earthquake,Earthquake_Norm,Hospital,Hospital_Norm,Water,Water_Norm
1506,150.8891638,-34.38399267,11507,Fernhill,0.3912,1024,2617.586912,0.125935294,5503,0.647259468,0,0,3,0.04109589,11,0.018181818
1512,151.0844279,-33.55833462,11513,Fiddletown,69.4133,231,3.327892493,0.000160109,1417,0.166666667,0,0,11,0.150684932,18,0.029752066
1528,151.1288827,-33.86741951,11530,Five Dock,2.4492,9359,3821.247754,0.183844882,5595,0.658080452,0,0,4,0.054794521,13,0.021487603
1540,151.0265212,-33.54486544,11542,Forest Glen (NSW),5.603,68,12.13635552,0.000583895,5659,0.665608092,0,0,14,0.191780822,14,0.023140496
1544,151.1799597,-33.88132448,11546,Forest Lodge,0.4446,4583,10308.14215,0.49593727,4256,0.500588097,0,0,0,0,19,0.031404959
1546,151.210359,-33.76038331,11548,Forestville (NSW),4.6871,8333,1777.858377,0.085534931,3473,0.40849212,0,0,5,0.068493151,21,0.034710744
1547,151.4669284,-33.40679691,11549,Forresters Beach,2.7678,2897,1046.679673,0.050357034,2691,0.316513761,0,0,2,0.02739726,11,0.018181818
1552,151.4011315,-33.34770998,11554,Fountaindale,7.7739,703,90.4308005,0.004350736,1347,0.15843331,0,0,2,0.02739726,2,0.003305785
1562,150.7993424,-33.56253577,11564,Freemans Reach,24.5998,1973,80.2039041,0.003858707,5990,0.704540108,0,0,14,0.191780822,10,0.016528926
1566,151.225546,-33.74788584,11568,Frenchs Forest,8.6431,13476,1559.1628,0.075013221,6928,0.81486709,0,0,6,0.082191781,23,0.038016529
1567,151.2841979,-33.77617445,11569,Freshwater (NSW),1.782,8862,4973.063973,0.239260163,5554,0.653258057,0,0,2,0.02739726,28,0.046280992
1580,151.0669702,-33.64733087,11582,Galston,23.5592,3133,132.9841421,0.006398029,1417,0.166666667,0,0,3,0.04109589,13,0.021487603
1599,150.9881118,-33.90892541,11601,Georges Hall,3.3233,9039,2719.886859,0.130857069,5415,0.636908963,0,0,1,0.01369863,5,0.008264463
1615,150.7773618,-34.13753947,11617,Gilead,28.0354,415,14.80271371,0.000712177,5657,0.665372853,0,0,3,0.04109589,6,0.009917355
1634,150.9444522,-33.8002418,11636,Girraween (NSW),2.3156,5587,2412.76559,0.11608109,3259,0.383321571,0,0,0,0,3,0.004958678
1636,151.1271727,-33.82812842,11638,Gladesville,3.5065,11826,3372.593754,0.162259592,3817,0.448953187,0,0,1,0.01369863,12,0.019834711
1639,151.1866715,-33.87811184,11641,Glebe (NSW),1.6927,11534,6813.965853,0.327828194,4256,0.500588097,0,0,1,0.01369863,19,0.031404959
